ID,group,hsa-mir-101-3p ,hsa-mir-124-3p ,hsa-mir-137 ,hsa-mir-148a-3p ,hsa-mir-155-5p ,hsa-mir-182-5p ,hsa-mir-200b-3p ,hsa-mir-200c-3p ,hsa-mir-203a-3p ,hsa-mir-205-5p ,hsa-mir-21-5p ,hsa-mir-211-5p ,hsa-mir-214-3p ,hsa-mir-221-3p ,hsa-mir-23a-3p ,hsa-mir-23b-3p ,hsa-mir-29a-3p ,hsa-mir-29b-3p ,hsa-mir-29c-3p ,hsa-mir-31-5p ,hsa-mir-34a-5p ,hsa-mir-429 ,hsa-mir-449a 
tumor_1_1,tumor,54,0.9,1.6,63.8,23.7,15.4,139.9,185.1,133.6,1464.3,1684.8,1.1,20,36.5,236.9,253.4,102.6,85.8,87.6,43.5,10.4,12.3,0.9
tumor_1_3,tumor,108.6,1,0.7,82.2,20,27.4,108.3,120.1,358.9,1594.8,2353.5,3.2,75.2,80.4,497.1,554.1,317.6,272.5,263.6,31.9,20,6.9,0.4
tumor_1_4,tumor,43.1,0.2,0.2,115,22.1,30.3,64.9,75.5,318.6,992,1608.6,0.8,10.7,72.4,410.7,439.9,191.4,205.8,138.6,37.2,21.2,5,0.5
tumor_1_5,tumor,96.5,0.3,1.3,8.3,11.9,6.8,0.3,1.1,0,0.1,2371.8,1.1,303,538.4,440,448.8,644.4,358,223.7,44.9,11.7,0.1,0.2
tumor_1_6,tumor,72.7,2,0.8,22.7,11.2,12,8.5,11.6,12.8,78.1,3112.1,1.3,464.8,347.5,441.2,479.7,520.2,333.8,201.3,35.8,18.7,2.4,0.4
exp_skin_5_2,exp_skin,298.8,0.6,2,151.2,0.8,9.4,251.6,313.2,4276.9,3488.7,465.8,19.7,91.4,227.4,893.6,1007.7,506.1,355.8,503.6,0.8,12.2,11.2,0.7
exp_skin_5_3,exp_skin,346.4,1.7,0.2,172.8,0,18.8,409.9,411.6,3342.8,4511.1,461.4,4,33.9,209.3,694.4,809.9,391.3,276.5,508.7,1.6,3.8,13.7,0
exp_skin_5_4,exp_skin,166.4,2.1,0.9,95.1,4.5,11.4,154.1,168.4,2470,2486.5,449.6,20.3,46.9,141.7,529.3,574.1,350.2,257.7,392.2,4.9,12.5,7.2,0.1
exp_skin_5_5,exp_skin,211.5,1.5,1.4,154.3,0.6,13.9,225.7,285.7,3339.6,4013.7,538.4,17.7,59.4,273.9,857.3,926.2,341.7,194.7,389.7,3,10.2,12.9,1.3
exp_skin_5_6,exp_skin,124.7,1.2,1.8,140.7,11.2,18.9,154.4,254.7,2843,2634.2,700.2,131.6,103.4,222.4,1068.6,1190.4,440.7,286,389.8,9.8,39.9,10.2,2.1
skin_6_1,skin,114.9,0.1,0,103.4,0.3,12.5,279.8,316.5,4168.5,2670.2,554.5,3.2,17.3,155.6,704.8,801.5,227.1,158,261.7,7.3,7.8,11.6,2.2
skin_6_2,skin,263.1,3.8,4.8,120.2,0.9,11.9,219,244.1,2923.4,3944.4,474.2,16.2,54.8,268.7,768.2,844.6,338.6,192.6,382.5,0,6.2,12.7,0
skin_6_3,skin,216.9,0.8,1.9,108.5,1.8,13.9,181.6,211.4,2847.2,2934.4,414.5,9.7,43.7,231.9,761.2,857.5,341.1,218.1,364.1,0.7,8.2,12.7,0
skin_6_4,skin,489.7,0,1.5,173,0,21.2,290.3,321.9,3047.3,4564.6,561.2,0.2,78,434.1,1083.5,1180.9,592.2,364.1,652,1.6,8.4,20.4,2.8
skin_6_5,skin,239.1,0.1,0.2,118.1,2.4,18.7,177.2,261.1,2176,3743.3,393.7,16.3,40.2,316.5,897.4,993.1,344.4,198.1,373.9,0.5,8.9,14.6,0.8
skin_6_6,skin,228.6,3.9,3.6,175.7,2.5,26.1,252.1,466.7,4339.2,4166.6,481.6,17.5,72.6,370.2,1736.1,1943.6,457.6,257.7,472.2,2.1,12.4,22.5,4
